annual_key,issuer_key,cik,period_end,revenue,net_income,operating_income,operating_cash_flow,assets,liabilities,equity,current_assets,current_liabilities,cash,latest_evidence_filed,available_metrics,net_margin,operating_margin,current_ratio,liabilities_to_assets,cash_flow_margin,filing_date_cutoff
4a03527f70a3e78d0fe62a80f4106348,8dcaec7fd5d7b33a98171670ca7b7cba52361d5f92dec157f13631c7ead0b2cc,882184,2017-09-30,14091000000.0000,1038400000.0000,,440200000.0000,12184600000.0000,4437000000.0000,7747600000.0000,,,1007800000.0000,2020-11-20,7,0.07369242779078845,,,0.3641481870557917,0.031239798452913206,2026-09-17
cec48cfb7d5955c41dee6aabc1c0b88a,13764cf1f0b41bf77fa516f1071d87f82362f760238bbccaf9c7c80b42400639,900075,2017-07-31,1447981000.0000,394227000.0000,461299000.0000,492058000.0000,1982501000.0000,883901000.0000,1098600000.0000,587261000.0000,302153000.0000,210100000.0000,2020-09-28,10,0.2722597879392064,0.3185808377319868,1.9435881821461312,0.44585147750240733,0.3398235197837541,2026-09-17
04fbd872d06d38c33a6dd41e72ee9118,c1f185e11512eec2fce588be3c2d2dbaa1654a0e4172496c4e2986b9bf972657,1138118,2017-12-31,18152507000.0000,697109000.0000,1078682000.0000,894411000.0000,11718396000.0000,7543782000.0000,4174614000.0000,5630584000.0000,4712944000.0000,751774000.0000,2021-02-24,10,0.0384029048990313,0.05942330720489462,1.1947063236906699,0.6437555105664632,0.04927203719023494,2026-09-17
a746e7b8e882f22c62971e5e11ab0d41,ce3c8427763dc3ed46672eaa14b98a84f9a71db4d3ca33f67a2e205520ee376b,1636222,2017-12-30,133319000.0000,23940000.0000,33873000.0000,27435000.0000,119836000.0000,178254000.0000,-58418000.0000,15908000.0000,19125000.0000,4063000.0000,2021-02-18,10,0.17956930370014776,0.25407481304240204,0.8317908496732026,1.4874828932874928,0.20578462184684854,2026-09-17
8b1ca45332bc91601d0ab2094e4da84c,ce3c8427763dc3ed46672eaa14b98a84f9a71db4d3ca33f67a2e205520ee376b,1636222,2020-12-26,248811000.0000,23306000.0000,57390000.0000,65530000.0000,211565000.0000,552875000.0000,-341310000.0000,72620000.0000,50473000.0000,40858000.0000,2024-02-21,10,0.09366949210444876,0.2306570047144218,1.4387890555346423,2.613263063361142,0.26337260008600905,2026-09-17
b9891a8a0f3668356c24a592aef681d3,985f77f409d200a07708cc0f1c135dc97dd30c46003c758b4684de69441f30fc,92380,2025-12-31,28063000000.0000,441000000.0000,428000000.0000,1842000000.0000,29061000000.0000,,7981000000.0000,5645000000.0000,10921000000.0000,3231000000.0000,2026-02-05,9,0.015714642055375407,0.015251398638777038,0.5168940573207582,,0.06563802872109183,2026-09-17
ab93232f2d882077029cce6360aa894c,985f77f409d200a07708cc0f1c135dc97dd30c46003c758b4684de69441f30fc,92380,2015-12-31,19820000000.0000,2181000000.0000,4116000000.0000,3238000000.0000,21312000000.0000,,6762000000.0000,4024000000.0000,7406000000.0000,1583000000.0000,2019-02-05,9,0.11004036326942482,0.20766902119071645,0.5433432352146907,,0.16337033299697276,2026-09-17
48a8fceecf328e64da4877a490d48799,985f77f409d200a07708cc0f1c135dc97dd30c46003c758b4684de69441f30fc,92380,2020-12-31,9048000000.0000,-3074000000.0000,-3816000000.0000,-1127000000.0000,34588000000.0000,,8876000000.0000,15173000000.0000,7506000000.0000,11063000000.0000,2024-02-06,9,-0.33974358974358976,-0.4217506631299735,2.0214495070610177,,-0.1245579133510168,2026-09-17
c6df79204c628911a7e1855baa59e169,3d5af7f2de08ed048c0b80ed7df1151a7be1fb55242ba62e399dee3a3203e0cd,97476,2021-12-31,18344000000.0000,7769000000.0000,8960000000.0000,8756000000.0000,24676000000.0000,11343000000.0000,13333000000.0000,13685000000.0000,2569000000.0000,4631000000.0000,2024-02-02,10,0.42351722634103794,0.48844308765808986,5.3269754768392374,0.4596774193548387,0.4773222852158744,2026-09-17
fd0e00ce125e15aba7ebb7e7e6e5bfa7,3d5af7f2de08ed048c0b80ed7df1151a7be1fb55242ba62e399dee3a3203e0cd,97476,2025-12-31,17682000000.0000,5001000000.0000,6023000000.0000,7153000000.0000,34585000000.0000,18312000000.0000,16273000000.0000,13750000000.0000,3159000000.0000,3225000000.0000,2026-02-06,10,0.2828299966067187,0.3406288881348264,4.352643241532131,0.5294780974410872,0.4045356860083701,2026-09-17
15c4702c836d181794a441e5bddb09a0,78f1242f09eebb9bb19826b7dba0aac3abd5aa59dfb421c210c795611e2e864a,703351,2023-06-28,4133200000.0000,102600000.0000,144400000.0000,256300000.0000,2487000000.0000,,-144300000.0000,183300000.0000,535900000.0000,15100000.0000,2026-08-19,9,0.02482338139939998,0.03493661085841479,0.3420414256391118,,0.062010064840801314,2026-09-17
2fdbb94fae7b62f1f184718afa2ed5f5,78f1242f09eebb9bb19826b7dba0aac3abd5aa59dfb421c210c795611e2e864a,703351,2025-06-25,5384200000.0000,383100000.0000,512000000.0000,679000000.0000,2678600000.0000,,370900000.0000,207000000.0000,675600000.0000,18900000.0000,2026-08-19,9,0.07115263177445118,0.09509305003528844,0.3063943161634103,,0.12610972846476728,2026-09-17
9f82ff64dc9dc659c1a9e17e58b246f3,df2b488bbb181d19ed629d4b20948bba9cd596a90a32e9ca7c0d4557a0327874,732717,2022-12-31,120741000000.0000,-8524000000.0000,-4587000000.0000,,402853000000.0000,,106457000000.0000,33108000000.0000,56173000000.0000,3701000000.0000,2026-02-09,8,-0.07059739442277271,-0.03799040922304768,0.589393480853791,,,2026-09-17
a9d403914269a20c46a34751c5658891,df2b488bbb181d19ed629d4b20948bba9cd596a90a32e9ca7c0d4557a0327874,732717,2025-12-31,125648000000.0000,21953000000.0000,24162000000.0000,40284000000.0000,420198000000.0000,,126491000000.0000,48732000000.0000,53780000000.0000,18234000000.0000,2026-02-09,9,0.17471826053737424,0.1922991213548962,0.9061361100780959,,0.32060995797784286,2026-09-17
66f12853d0251bfdb788029383d5235e,8dcaec7fd5d7b33a98171670ca7b7cba52361d5f92dec157f13631c7ead0b2cc,882184,2022-09-30,33480000000.0000,5857500000.0000,,561800000.0000,30351100000.0000,10565500000.0000,19785600000.0000,,,2540500000.0000,2025-11-19,7,0.17495519713261648,,,0.3481092942265684,0.01678016726403823,2026-09-17
b4e25e00b3913c96cabcbc6f4e24b760,ce3c8427763dc3ed46672eaa14b98a84f9a71db4d3ca33f67a2e205520ee376b,1636222,2016-12-31,103324000.0000,13769000.0000,26607000.0000,21879000.0000,111800000.0000,186428000.0000,-81430000.0000,11116000.0000,16732000.0000,3750000.0000,2020-02-19,10,0.13326042352212458,0.25751035577406994,0.6643557255558212,1.6675134168157424,0.21175138399597382,2026-09-17
da6ba2a10b95d0027841f954558b2616,985f77f409d200a07708cc0f1c135dc97dd30c46003c758b4684de69441f30fc,92380,2021-12-31,15790000000.0000,977000000.0000,1721000000.0000,2322000000.0000,36320000000.0000,,10414000000.0000,18036000000.0000,9164000000.0000,12480000000.0000,2025-02-07,9,0.061874604179860675,0.10899303356554782,1.968136185072021,,0.14705509816339454,2026-09-17
062736c214c050b226cc54c7c65fafc5,985f77f409d200a07708cc0f1c135dc97dd30c46003c758b4684de69441f30fc,92380,2022-12-31,23814000000.0000,539000000.0000,1017000000.0000,3790000000.0000,35369000000.0000,,10687000000.0000,14808000000.0000,10378000000.0000,9492000000.0000,2026-02-05,9,0.02263374485596708,0.04270597127739985,1.4268645211023319,,0.15915007978500043,2026-09-17
c37aa67e94d8f392a724de664b2653b5,78f1242f09eebb9bb19826b7dba0aac3abd5aa59dfb421c210c795611e2e864a,703351,2015-06-24,3002278000.0000,194659000.0000,311202000.0000,368611000.0000,1435873000.0000,,-90812000.0000,187224000.0000,418475000.0000,55121000.0000,2018-08-27,9,0.06483710036179195,0.10365529108230484,0.44739590178624766,,0.1227771045852516,2026-09-17
e5df1ca1a11f50661c309b2543fd6185,78f1242f09eebb9bb19826b7dba0aac3abd5aa59dfb421c210c795611e2e864a,703351,2017-06-28,3150800000.0000,150800000.0000,256200000.0000,315100000.0000,1403633000.0000,,-493600000.0000,144325000.0000,436361000.0000,9000000.0000,2020-08-24,9,0.047860860733781894,0.08131268249333502,0.33074678992852247,,0.10000634759426177,2026-09-17
cadd4e07ffbb7d61183cf0f22fcb3c26,78f1242f09eebb9bb19826b7dba0aac3abd5aa59dfb421c210c795611e2e864a,703351,2019-06-26,3217900000.0000,154900000.0000,230700000.0000,212700000.0000,1258300000.0000,,-778200000.0000,177000000.0000,421600000.0000,13400000.0000,2022-08-26,9,0.0481369837471643,0.07169271885391093,0.4198292220113852,,0.06609900867025079,2026-09-17
c115385c20d80afca52dd3a69838e794,78f1242f09eebb9bb19826b7dba0aac3abd5aa59dfb421c210c795611e2e864a,703351,2022-06-29,3804100000.0000,117600000.0000,159500000.0000,252200000.0000,2484400000.0000,,-268100000.0000,201200000.0000,558000000.0000,13500000.0000,2025-08-15,9,0.030914013827186455,0.04192844562445782,0.36057347670250894,,0.06629689019741858,2026-09-17
08162c1fc14692511d24b06c3f82c169,df2b488bbb181d19ed629d4b20948bba9cd596a90a32e9ca7c0d4557a0327874,732717,2015-12-31,146801000000.0000,13345000000.0000,24785000000.0000,35880000000.0000,402672000000.0000,279032000000.0000,123640000000.0000,35992000000.0000,47816000000.0000,5121000000.0000,2019-02-20,10,0.09090537530398295,0.16883399976839394,0.7527187552283754,0.6929510867405729,0.24441250400201633,2026-09-17
6d7a6a0b45eefc6ab1f88ece6bc37b94,df2b488bbb181d19ed629d4b20948bba9cd596a90a32e9ca7c0d4557a0327874,732717,2020-12-31,143050000000.0000,-5176000000.0000,8372000000.0000,43130000000.0000,525761000000.0000,,179240000000.0000,52008000000.0000,63438000000.0000,7924000000.0000,2024-02-23,9,-0.036183152743795875,0.058524991261796576,0.819824080204294,,0.3015029709891646,2026-09-17
2009679d7e2ac64fcb55e813704ca955,df2b488bbb181d19ed629d4b20948bba9cd596a90a32e9ca7c0d4557a0327874,732717,2021-12-31,134038000000.0000,20081000000.0000,25897000000.0000,41957000000.0000,551622000000.0000,,183855000000.0000,170768000000.0000,106230000000.0000,19223000000.0000,2025-02-12,9,0.14981572389919276,0.19320640415404586,1.6075308293325803,,0.31302317253316225,2026-09-17
b7f2a755b0c111a59ab9be55b2a4561a,c1f185e11512eec2fce588be3c2d2dbaa1654a0e4172496c4e2986b9bf972657,1138118,2018-12-31,20778100000.0000,1063219000.0000,1087989000.0000,1131249000.0000,13456793000.0000,8446891000.0000,5009902000.0000,6754210000.0000,5803380000.0000,777219000.0000,2022-03-01,10,0.05117017436627988,0.05236229491628205,1.1638407273002973,0.6277046098576384,0.05444429471414614,2026-09-17
a1aaa38a57429910dfcd0e723973ebec,c1f185e11512eec2fce588be3c2d2dbaa1654a0e4172496c4e2986b9bf972657,1138118,2019-12-31,23274086000.0000,1282357000.0000,1259875000.0000,1223380000.0000,16197196000.0000,9924084000.0000,6273112000.0000,7534464000.0000,6436451000.0000,971781000.0000,2023-02-27,10,0.05509806056401098,0.05413209352238365,1.1705929245790887,0.6127038284898201,0.052564040538477,2026-09-17
fc828d5561cb94540a56d0081a1d7780,985f77f409d200a07708cc0f1c135dc97dd30c46003c758b4684de69441f30fc,92380,2016-12-31,20289000000.0000,2183000000.0000,3522000000.0000,4293000000.0000,23286000000.0000,,7784000000.0000,4498000000.0000,6844000000.0000,1680000000.0000,2020-02-04,9,0.10759524865690769,0.17359160136034305,0.657218001168907,,0.21159248854058849,2026-09-17
f182824a10d8c5f080cd4493b2368cd4,985f77f409d200a07708cc0f1c135dc97dd30c46003c758b4684de69441f30fc,92380,2023-12-31,26091000000.0000,465000000.0000,224000000.0000,3164000000.0000,36487000000.0000,,10515000000.0000,13955000000.0000,12256000000.0000,9288000000.0000,2026-02-05,9,0.017822237553179257,0.008585335939596029,1.1386259791122715,,0.12126787014679391,2026-09-17
7ea9c76b87389ff9935d5fc29978240a,df2b488bbb181d19ed629d4b20948bba9cd596a90a32e9ca7c0d4557a0327874,732717,2016-12-31,163786000000.0000,12976000000.0000,23543000000.0000,38442000000.0000,403821000000.0000,,124110000000.0000,38369000000.0000,50576000000.0000,5788000000.0000,2020-02-20,9,0.07922533061433822,0.14374244440916806,0.7586404618791521,,0.23470870526174398,2026-09-17
41ec1733e46d5f32ff500ac53a3eedd8,13764cf1f0b41bf77fa516f1071d87f82362f760238bbccaf9c7c80b42400639,900075,2021-07-31,2692511000.0000,936495000.0000,1136426000.0000,990891000.0000,4562143000.0000,1032942000.0000,3529201000.0000,1702611000.0000,421031000.0000,,2023-09-28,9,0.3478147350187242,0.42206921345910936,4.043908880818752,0.22641596284903828,0.3680174379974678,2026-09-17
3f9a959729b1a7a0b4f67b8dfe748bd3,c1f185e11512eec2fce588be3c2d2dbaa1654a0e4172496c4e2986b9bf972657,1138118,2024-12-31,35181000000.0000,968000000.0000,1413000000.0000,1708000000.0000,24383000000.0000,15191000000.0000,9192000000.0000,9970000000.0000,9287000000.0000,1114000000.0000,2026-02-12,10,0.02751485176657855,0.0401637247377846,1.0735436631850974,0.6230160357626215,0.0485489326625167,2026-09-17
afe6bb6358e4049ec54a7cb28c9b3120,ce3c8427763dc3ed46672eaa14b98a84f9a71db4d3ca33f67a2e205520ee376b,1636222,2022-12-31,357521000.0000,52947000.0000,91933000.0000,76238000.0000,424190000.0000,815051000.0000,-390861000.0000,226672000.0000,62412000.0000,184496000.0000,2025-02-19,10,0.14809479722869426,0.2571401400197471,3.6318656668589373,1.9214290765930362,0.2132406208306645,2026-09-17
e424a700ae0acbf90266b79e3d5f5e1a,ce3c8427763dc3ed46672eaa14b98a84f9a71db4d3ca33f67a2e205520ee376b,1636222,2023-12-30,460055000.0000,70175000.0000,112594000.0000,121601000.0000,377825000.0000,835191000.0000,-457366000.0000,144344000.0000,71004000.0000,90216000.0000,2026-02-18,10,0.15253610981295715,0.24474030278988382,2.0328995549546502,2.2105233904585457,0.26431839671343643,2026-09-17
9f1271e885694568787c7373744e431e,8dcaec7fd5d7b33a98171670ca7b7cba52361d5f92dec157f13631c7ead0b2cc,882184,2018-09-30,16068000000.0000,1460300000.0000,,545200000.0000,14114600000.0000,4955700000.0000,9158900000.0000,,,1473100000.0000,2021-11-18,7,0.090882499377645,,,0.3511045300610715,0.03393079412496888,2026-09-17
add82d1cbd164eaaa74ecd2f35395390,8dcaec7fd5d7b33a98171670ca7b7cba52361d5f92dec157f13631c7ead0b2cc,882184,2021-09-30,27774200000.0000,4175800000.0000,,534400000.0000,24015900000.0000,8799700000.0000,15216200000.0000,,,3210400000.0000,2024-11-19,7,0.15034816484363187,,,0.3664114191015119,0.019240878225115395,2026-09-17
36357555f5e31b5b6148ed621b024237,8dcaec7fd5d7b33a98171670ca7b7cba52361d5f92dec157f13631c7ead0b2cc,882184,2019-09-30,17592900000.0000,1618500000.0000,,892100000.0000,15606600000.0000,5311500000.0000,10295100000.0000,,,1494300000.0000,2022-11-18,7,0.09199733983595655,,,0.3403367805928261,0.05070795605045217,2026-09-17
8043d9d9c0bf52fe2d3737391275a37f,985f77f409d200a07708cc0f1c135dc97dd30c46003c758b4684de69441f30fc,92380,2017-12-31,21146000000.0000,3357000000.0000,3407000000.0000,3929000000.0000,25110000000.0000,,9641000000.0000,4815000000.0000,6863000000.0000,1495000000.0000,2021-02-08,9,0.15875342854440555,0.1611179419275513,0.7015882267230075,,0.18580346164759293,2026-09-17
cba42a92992bbd9083c3e1a0f5df0c91,985f77f409d200a07708cc0f1c135dc97dd30c46003c758b4684de69441f30fc,92380,2024-12-31,27483000000.0000,465000000.0000,321000000.0000,462000000.0000,33750000000.0000,,10350000000.0000,11274000000.0000,12276000000.0000,7509000000.0000,2026-02-05,9,0.016919550267438053,0.011679947603973366,0.918377321603128,,0.016810391878615872,2026-09-17
32b8824e9ff35a00649bf27a1a3c4647,78f1242f09eebb9bb19826b7dba0aac3abd5aa59dfb421c210c795611e2e864a,703351,2018-06-27,3135400000.0000,125900000.0000,226100000.0000,284500000.0000,1347300000.0000,,-718300000.0000,156300000.0000,434300000.0000,10900000.0000,2021-08-26,9,0.04015436626905658,0.07211201122663775,0.359889477319825,,0.09073802385660522,2026-09-17
9725dbf08ac36713774bbecf9ab67f45,78f1242f09eebb9bb19826b7dba0aac3abd5aa59dfb421c210c795611e2e864a,703351,2020-06-24,3078500000.0000,24400000.0000,62600000.0000,245000000.0000,2356000000.0000,,-479100000.0000,224400000.0000,497900000.0000,43900000.0000,2023-08-23,9,0.00792593795679714,0.020334578528504142,0.45069291022293634,,0.07958421309079097,2026-09-17
b216f7ec518c3423ea1821a5fb01e5f8,df2b488bbb181d19ed629d4b20948bba9cd596a90a32e9ca7c0d4557a0327874,732717,2017-12-31,160546000000.0000,29450000000.0000,19970000000.0000,38010000000.0000,444097000000.0000,,142007000000.0000,79146000000.0000,81389000000.0000,50498000000.0000,2021-02-25,9,0.18343652286572074,0.12438802586174678,0.9724409932546167,,0.23675457501276892,2026-09-17
9d055f3a83e2b27769b16e5545717b88,8dcaec7fd5d7b33a98171670ca7b7cba52361d5f92dec157f13631c7ead0b2cc,882184,2015-09-30,10824000000.0000,750700000.0000,,700400000.0000,11151000000.0000,5255600000.0000,5895400000.0000,,,1383800000.0000,2018-11-16,7,0.06935513673318551,,,0.4713119899560578,0.06470805617147081,2026-09-17
914c9e8cc450c631d8b5a6c7d488adfa,8dcaec7fd5d7b33a98171670ca7b7cba52361d5f92dec157f13631c7ead0b2cc,882184,2016-09-30,12157400000.0000,886300000.0000,,623900000.0000,11558900000.0000,4765900000.0000,6793000000.0000,,,1303200000.0000,2019-11-25,7,0.07290210077812691,,,0.4123143205668359,0.0513185385032984,2026-09-17
3514191ecf31c1a171f8fc29966c9070,13764cf1f0b41bf77fa516f1071d87f82362f760238bbccaf9c7c80b42400639,900075,2016-07-31,1268449000.0000,270360000.0000,406470000.0000,,1649820000.0000,875364000.0000,774456000.0000,499306000.0000,278783000.0000,155849000.0000,2019-09-30,9,0.21314219176332672,0.320446466511464,1.7910202558979564,0.5305815179837801,,2026-09-17
7324231189a3d92a1c523791fb7b7e81,13764cf1f0b41bf77fa516f1071d87f82362f760238bbccaf9c7c80b42400639,900075,2022-07-31,3500921000.0000,1090130000.0000,1374997000.0000,1176683000.0000,5308864000.0000,683265000.0000,4625599000.0000,2202455000.0000,440889000.0000,,2024-09-30,9,0.31138377586926413,0.39275293558466473,4.9954863922665345,0.12870267537461874,0.336106698780121,2026-09-17
09329e73deed40584ee2d3dc351e4d45,13764cf1f0b41bf77fa516f1071d87f82362f760238bbccaf9c7c80b42400639,900075,2015-07-31,1146079000.0000,219783000.0000,344401000.0000,,1798660000.0000,834196000.0000,964464000.0000,734582000.0000,213126000.0000,456012000.0000,2018-10-01,9,0.19176950280041777,0.3005037174575226,3.446702889370607,0.46378748623975624,,2026-09-17
14c913a1902556d77e9516d944e3a89c,13764cf1f0b41bf77fa516f1071d87f82362f760238bbccaf9c7c80b42400639,900075,2025-07-31,4646958000.0000,1552449000.0000,1696714000.0000,1799750000.0000,10090902000.0000,883411000.0000,9187033000.0000,5754628000.0000,683281000.0000,,2025-09-26,9,0.33407855203339476,0.36512359268149186,8.422051835189329,0.08754529575255017,0.3872963775441913,2026-09-17
903aa8a5a0a0baf8794129027ec30314,c1f185e11512eec2fce588be3c2d2dbaa1654a0e4172496c4e2986b9bf972657,1138118,2023-12-31,31505000000.0000,986000000.0000,1117000000.0000,480000000.0000,22548000000.0000,13481000000.0000,9067000000.0000,9666000000.0000,8243000000.0000,1265000000.0000,2026-02-12,10,0.03129661958419298,0.035454689731788606,1.1726313235472523,0.5978800780557034,0.015235676876686241,2026-09-17
049668d778c42d5c6d6d6b9d472410a9,c1f185e11512eec2fce588be3c2d2dbaa1654a0e4172496c4e2986b9bf972657,1138118,2016-12-31,16830004000.0000,573079000.0000,816831000.0000,616985000.0000,10779587000.0000,7722342000.0000,3145900000.0000,5122450000.0000,4525429000.0000,762576000.0000,2020-03-02,10,0.03405103171692651,0.04853421306376398,1.1319258350976227,0.7163857019754096,0.036659824917451,2026-09-17
edea1225f6b13a178db1bd52bd41b6ec,c1f185e11512eec2fce588be3c2d2dbaa1654a0e4172496c4e2986b9bf972657,1138118,2021-12-31,26950000000.0000,1837000000.0000,1637000000.0000,2364000000.0000,22073491000.0000,12714374000.0000,9359000000.0000,10082365000.0000,8418869000.0000,2430951000.0000,2025-02-14,10,0.06816326530612245,0.060742115027829315,1.1975913866815127,0.5760019563738241,0.08771799628942487,2026-09-17
a97fa22f2b8c4d53a104ffb09f095890,ce3c8427763dc3ed46672eaa14b98a84f9a71db4d3ca33f67a2e205520ee376b,1636222,2015-12-26,77969000.0000,10106000.0000,19718000.0000,13860000.0000,120650000.0000,130323000.0000,-14810000.0000,19620000.0000,12570000.0000,10690000.0000,2019-02-27,10,0.12961561646295322,0.25289538149777474,1.5608591885441527,1.0801740571902196,0.17776295707268272,2026-09-17
5931d8f4652f76872e6e965f36c48f5f,ce3c8427763dc3ed46672eaa14b98a84f9a71db4d3ca33f67a2e205520ee376b,1636222,2021-12-25,282502000.0000,42658000.0000,73756000.0000,48878000.0000,249203000.0000,558728000.0000,-309525000.0000,70149000.0000,39681000.0000,48583000.0000,2025-02-19,10,0.15100070087999376,0.2610813374772568,1.767823391547592,2.2420596862798603,0.1730182441186257,2026-09-17
e5b594309ba9b0dd229d017bcf5fbb18,985f77f409d200a07708cc0f1c135dc97dd30c46003c758b4684de69441f30fc,92380,2018-12-31,21965000000.0000,2465000000.0000,3206000000.0000,4893000000.0000,26243000000.0000,,9853000000.0000,5028000000.0000,7905000000.0000,1854000000.0000,2022-02-07,9,0.11222399271568405,0.14595948099248804,0.6360531309297913,,0.2227634873662645,2026-09-17
78877c1c708309fc74fa750e64df2cca,985f77f409d200a07708cc0f1c135dc97dd30c46003c758b4684de69441f30fc,92380,2019-12-31,22428000000.0000,2300000000.0000,2957000000.0000,3987000000.0000,25895000000.0000,,9832000000.0000,5974000000.0000,8952000000.0000,2548000000.0000,2023-02-07,9,0.10255038344925986,0.13184412341715712,0.66733690795353,,0.17776886035313003,2026-09-17
ccb50d7b05e31ff8b24de51e82a4e976,3d5af7f2de08ed048c0b80ed7df1151a7be1fb55242ba62e399dee3a3203e0cd,97476,2024-12-31,15641000000.0000,4799000000.0000,5465000000.0000,6318000000.0000,35509000000.0000,18606000000.0000,16903000000.0000,15026000000.0000,3643000000.0000,3200000000.0000,2026-02-06,10,0.3068218144619909,0.349402212134774,4.124622563821027,0.5239798360978907,0.40393836711207726,2026-09-17
ee5a35e41ef4b2d4729fff40d8c302c3,df2b488bbb181d19ed629d4b20948bba9cd596a90a32e9ca7c0d4557a0327874,732717,2024-12-31,122336000000.0000,10948000000.0000,19049000000.0000,38771000000.0000,394795000000.0000,,118245000000.0000,31168000000.0000,46872000000.0000,3298000000.0000,2026-02-09,9,0.08949123724823436,0.15571050222338478,0.6649598907663424,,0.3169222469264975,2026-09-17
